Entire Dataset 690,AUC,Accuracy,Mean,165 Datasets (CBLANE),AUC,Accuracy
wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.9492255449,0.8734939694,,wgEncodeAwgTfbsSydhMcf7Gata3UcdUniPk,0.9118916392,0.8297335505
wgEncodeAwgTfbsSydhK562Kap1UcdUniPk,0.9854003191,0.935528934,,wgEncodeAwgTfbsSydhMcf7Hae2f1UcdUniPk,0.9606574774,0.8953971267
wgEncodeAwgTfbsBroadK562P300UniPk,0.9449309111,0.8613898158,,wgEncodeAwgTfbsSydhNb4CmycUniPk,0.9205170274,0.8383793831
wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk,0.9346210361,0.8567757607,,wgEncodeAwgTfbsSydhNb4MaxUniPk,0.9921501279,0.9655685425
wgEncodeAwgTfbsBroadNhekPol2bUniPk,0.9561318755,0.888671875,,wgEncodeAwgTfbsSydhNt2d1Yy1UcdUniPk,0.9387011528,0.8649650216
wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk,0.8964233398,0.8116912842,,wgEncodeAwgTfbsSydhShsy5yGata2UcdUniPk,0.8685942292,0.7822278142
wgEncodeAwgTfbsSydhK562Stat2Ifna6hUniPk,0.9327440858,0.8537499905,,wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk,0.9535476565,0.8803827763
wgEncodeAwgTfbsHaibGm12878Tcf3Pcr1xUniPk,0.9104990959,0.8282442689,,wgEncodeAwgTfbsUchicagoK562EfosUniPk,0.9223711491,0.8405757546
wgEncodeAwgTfbsSydhH1hescJundIggrabUniPk,0.9534418583,0.8787085414,,wgEncodeAwgTfbsUchicagoK562Egata2UniPk,0.9422312975,0.8635852337
wgEncodeAwgTfbsSydhGm12878NfkbTnfaIggrabUniPk,0.9799293876,0.927914083,,wgEncodeAwgTfbsUchicagoK562Ehdac8UniPk,0.993663609,0.9650262594
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Gen1hUniPk,0.9137780666,0.833858788,,wgEncodeAwgTfbsUchicagoK562EjundUniPk,0.9723230004,0.9184559584
wgEncodeAwgTfbsHaibHepg2Mbd4sc271530V0422111UniPk,0.9810397625,0.9323346019,,wgEncodeAwgTfbsUtaGm12878CmycUniPk,0.9895343781,0.9566983581
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk,0.8987696767,0.8150317073,,wgEncodeAwgTfbsUtaGm12878CtcfUniPk,0.9484084249,0.8707414865
wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk,0.9230954647,0.8369136453,,wgEncodeAwgTfbsUtaH1hescCmycUniPk,0.9514650106,0.8818289638
wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk,0.9695601463,0.8993839622,,wgEncodeAwgTfbsUtaH1hescCtcfUniPk,0.9148480892,0.8294074535
wgEncodeAwgTfbsHaibH1hescEgr1V0416102UniPk,0.8982720375,0.8109865189,,wgEncodeAwgTfbsUtaHelas3CtcfUniPk,0.9551675916,0.8875684738
wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk,0.9144796133,0.8278955817,,wgEncodeAwgTfbsUtaHepg2CmycUniPk,0.889480114,0.8030464053
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk,0.9647280574,0.8878729343,,wgEncodeAwgTfbsUtaK562CtcfUniPk,0.7828124762,0.7127976418
wgEncodeAwgTfbsSydhK562CmycUniPk,0.9660713077,0.8836489916,,wgEncodeAwgTfbsUtaMcf7CtcfUniPk,0.955919683,0.8922463059
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk,0.9386911988,0.8620097041,,,,
wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk,0.9054698944,0.8166526556,,,,
wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk,0.9607843757,0.894033134,,,,
wgEncodeAwgTfbsHaibH1hescPou5f1sc9081V0416102UniPk,0.877420783,0.7977824807,,,,
wgEncodeAwgTfbsHaibK562GabpV0416101UniPk,0.8887768984,0.8027020097,,,,
wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk,0.9520843029,0.8846096396,,,,
wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk,0.9255618453,0.8420608044,,,,
wgEncodeAwgTfbsSydhH1hescCjunIggrabUniPk,0.861736834,0.7814569473,,,,
wgEncodeAwgTfbsUtaHuvecPol2UniPk,0.8981308341,0.8000000119,,,,
wgEncodeAwgTfbsHaibHepg2Tead4sc101184V0422111UniPk,0.9247451425,0.8226864338,,,,
wgEncodeAwgTfbsSydhGm12878Pol2UniPk,0.9478692412,0.8770595789,,,,
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk,0.8839733601,0.7999324203,,,,
wgEncodeAwgTfbsSydhNt2d1Suz12UcdUniPk,0.902130425,0.8043640256,,,,
wgEncodeAwgTfbsHaibHct116Zbtb33V0416101UniPk,0.9444444776,0.8632492423,,,,
wgEncodeAwgTfbsSydhMcf7Tcf7l2UcdUniPk,0.9368039966,0.8423114419,,,,
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk,0.9808682799,0.935706377,,,,
wgEncodeAwgTfbsSydhMcf10aesPol2TamUniPk,0.9146946669,0.8322363496,,,,
wgEncodeAwgTfbsHaibGm12892Pax5c20V0416101UniPk,0.9340859056,0.8629518151,,,,
wgEncodeAwgTfbsHaibPanc1Pol24h8V0416101UniPk,0.8568490148,0.7655417323,,,,
wgEncodeAwgTfbsSydhHek293Pol2UniPk,0.9507989883,0.8730918169,,,,
wgEncodeAwgTfbsHaibHepg2Pol24h8V0416102UniPk,0.801853776,0.7166276574,,,,
wgEncodeAwgTfbsSydhK562Pol2UniPk,0.9549736381,0.8781193495,,,,
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk,0.9588913321,0.9137529135,,,,
wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk,0.9066891074,0.8224072456,,,,
wgEncodeAwgTfbsHaibGm12892Pol2V0416102UniPk,0.8780988455,0.7974895239,,,,
wgEncodeAwgTfbsHaibT47dP300V0416102Dm002p1hUniPk,0.9453204274,0.8722985983,,,,
wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk,0.9331523776,0.8368121386,,,,
wgEncodeAwgTfbsHaibHepg2Bhlhe40V0416101UniPk,0.9144285321,0.8307182193,,,,
wgEncodeAwgTfbsHaibH1hescAtf2sc81188V0422111UniPk,0.8969745636,0.8110161424,,,,
wgEncodeAwgTfbsSydhNb4Pol2UniPk,0.9527383447,0.8851789832,,,,
wgEncodeAwgTfbsSydhH1hescGtf2f1IggrabUniPk,0.8709356189,0.7855633497,,,,
wgEncodeAwgTfbsUtaGm12878CmycUniPk,0.9371839166,0.853333354,,,,
wgEncodeAwgTfbsSydhK562Rad21UniPk,0.9680141211,0.9342806339,,,,
wgEncodeAwgTfbsHaibHepg2Atf3V0416101UniPk,0.9126768708,0.8277512193,,,,
wgEncodeAwgTfbsSydhK562CjunUniPk,0.9015053511,0.8192951679,,,,
wgEncodeAwgTfbsHaibH1hescTaf7sc101167V0416102UniPk,0.9609106779,0.895301044,,,,
wgEncodeAwgTfbsHaibHepg2Zbtb7aV0416101UniPk,0.9119719267,0.8363636136,,,,
wgEncodeAwgTfbsBroadHmecEzh239875UniPk,0.8893821239,0.8073800802,,,,
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk,0.911996007,0.8241847157,,,,
wgEncodeAwgTfbsSydhK562Ini1IggmusUniPk,0.8274751306,0.7424618602,,,,
wgEncodeAwgTfbsSydhK562CjunIfng6hUniPk,0.9556036592,0.8848283291,,,,
wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk,0.8758687973,0.793482542,,,,
wgEncodeAwgTfbsHaibK562Six5Pcr1xUniPk,0.8663790822,0.7842205167,,,,
wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk,0.9433855414,0.8720698357,,,,
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,0.9784446955,0.9239766002,,,,
wgEncodeAwgTfbsSydhHepg2Pol2IggrabUniPk,0.9329738617,0.8420162201,,,,
wgEncodeAwgTfbsSydhHelas3Spt20UniPk,0.9143776298,0.8239277601,,,,
wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk,0.9361766577,0.85503304,,,,
wgEncodeAwgTfbsHaibH1hescSrfPcr1xUniPk,0.9528263807,0.8841201663,,,,
wgEncodeAwgTfbsSydhHelas3Ap2alphaUniPk,0.8788175583,0.7889707685,,,,
wgEncodeAwgTfbsHaibH1hescTcf12Pcr1xUniPk,0.9741449356,0.9213764071,,,,
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk,0.9318310618,0.8459877372,,,,
wgEncodeAwgTfbsSydhH1hescTbpIggrabUniPk,0.9559773803,0.8880733848,,,,
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk,0.9378052354,0.8567860126,,,,
wgEncodeAwgTfbsBroadHuvecEzh239875UniPk,0.981312573,0.9340314269,,,,
wgEncodeAwgTfbsSydhHelas3NfybIggrabUniPk,0.9629015326,0.8932822943,,,,
wgEncodeAwgTfbsSydhK562Atf106325UniPk,0.8656203747,0.7796234488,,,,
wgEncodeAwgTfbsUchicagoK562Egata2UniPk,0.9074689746,0.8120446205,,,,
wgEncodeAwgTfbsSydhGm12878Yy1UniPk,0.8715835214,0.787037015,,,,
wgEncodeAwgTfbsSydhGm12878Ikzf1iknuclaUniPk,0.9206569195,0.8362919092,,,,
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk,0.9306768179,0.8397228718,,,,
wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk,0.9174454212,0.8261628747,,,,
wgEncodeAwgTfbsSydhK562Pol2Ifna30UniPk,0.8829111457,0.7979750633,,,,
wgEncodeAwgTfbsSydhK562Stat1Ifng30UniPk,0.8257969618,0.7471612692,,,,
wgEncodeAwgTfbsHaibGm12891Pou2f2Pcr1xUniPk,0.9566951394,0.8810110688,,,,
wgEncodeAwgTfbsSydhH1hescMxi1IggrabUniPk,0.9510976672,0.8780304193,,,,
wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk,0.9588651061,0.89041996,,,,
wgEncodeAwgTfbsSydhNt2d1Yy1UcdUniPk,0.9339644909,0.8506114483,,,,
wgEncodeAwgTfbsUchicagoK562EjunbUniPk,0.9565627575,0.8819788098,,,,
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk,0.9732845426,0.9175792336,,,,
wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk,0.9407180548,0.8647746444,,,,
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,0.9239988327,0.8425834775,,,,
wgEncodeAwgTfbsSydhHelas3Corestsc30189IggrabUniPk,0.9328510761,0.8568669558,,,,
wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk,0.9588525295,0.8878993988,,,,
wgEncodeAwgTfbsSydhHelas3Nrf1IggmusUniPk,0.9197024703,0.8415578008,,,,
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk,0.9492753744,0.8623548746,,,,
wgEncodeAwgTfbsUtaK562Pol2UniPk,0.9272027612,0.843575418,,,,
wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk,0.9731087089,0.9156660438,,,,
wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk,0.8906438947,0.8023552895,,,,
wgEncodeAwgTfbsUchicagoK562EfosUniPk,0.9511121511,0.8793907166,,,,
wgEncodeAwgTfbsHaibA549GabpV0422111Etoh02UniPk,0.9572799206,0.8932186365,,,,
wgEncodeAwgTfbsHaibA549Atf3V0422111Etoh02UniPk,0.9563271403,0.872410059,,,,
wgEncodeAwgTfbsHaibHepg2GabpPcr2xUniPk,0.8978931308,0.7952833772,,,,
wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk,0.9403595328,0.8580952287,,,,
wgEncodeAwgTfbsHaibGm12878Taf1Pcr1xUniPk,0.9491145015,0.8699029088,,,,
wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk,0.9571527839,0.8871564269,,,,
wgEncodeAwgTfbsSydhHelas3Pol2s2IggrabUniPk,0.9201337099,0.8391903043,,,,
wgEncodeAwgTfbsSydhGm12878Elk112771IggmusUniPk,0.9825065732,0.947247684,,,,
wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk,0.9832097292,0.9287502766,,,,
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk,0.8861988187,0.7980900407,,,,
wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk,0.9883863926,0.9503105879,,,,
wgEncodeAwgTfbsSydhHelas3Brca1a300IggrabUniPk,0.8484823704,0.7727110982,,,,
wgEncodeAwgTfbsHaibHepg2Cebpdsc636V0416101UniPk,0.9366502166,0.8552311659,,,,
wgEncodeAwgTfbsHaibA549Bcl3V0422111Etoh02UniPk,0.9206687212,0.8354763985,,,,
wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.9030636549,0.8062189221,,,,
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk,0.9700548649,0.9082802534,,,,
wgEncodeAwgTfbsSydhGm12878MaxIggmusUniPk,0.946521163,0.862616837,,,,
wgEncodeAwgTfbsSydhGm18505NfkbTnfaIggrabUniPk,0.9179267883,0.836039722,,,,
wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,0.9202675819,0.812030077,,,,
wgEncodeAwgTfbsSydhK562Pol2IggmusUniPk,0.8900660276,0.7958627939,,,,
wgEncodeAwgTfbsHaibGm12878P300Pcr1xUniPk,0.8899000883,0.7962686419,,,,
wgEncodeAwgTfbsSydhGm12892NfkbTnfaIggrabUniPk,0.9669373631,0.9236947894,,,,
wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.9547033906,0.8948625922,,,,
wgEncodeAwgTfbsHaibHct116Yy1sc281V0416101UniPk,0.944748044,0.8657194376,,,,
wgEncodeAwgTfbsHaibA549P300V0422111Etoh02UniPk,0.9619287252,0.8942952752,,,,
wgEncodeAwgTfbsSydhHelas3E2f4UniPk,0.970746994,0.9120177627,,,,
wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk,0.9571096897,0.8936507702,,,,
wgEncodeAwgTfbsHaibH1hescAtf3V0416102UniPk,0.8417150974,0.7517188787,,,,
wgEncodeAwgTfbsHaibHelas3GabpPcr1xUniPk,0.964933753,0.8797169924,,,,
wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk,0.9381464124,0.8530760407,,,,
wgEncodeAwgTfbsSydhHelas3NfyaIggrabUniPk,0.9853664637,0.9443324208,,,,
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk,0.8474408388,0.751427114,,,,
wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk,0.9247892499,0.8381801248,,,,
wgEncodeAwgTfbsSydhGm12878Sin3anb6001263IggmusUniPk,0.9025354385,0.8189349174,,,,
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk,0.9796631932,0.9326007366,,,,
wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk,0.9499379992,0.8754469752,,,,
wgEncodeAwgTfbsSydhHelas3Baf155IggmusUniPk,0.9218719602,0.8331005573,,,,
wgEncodeAwgTfbsSydhK562Irf1Ifng6hUniPk,0.9005702734,0.8174144626,,,,
wgEncodeAwgTfbsSydhHelas3Tr4UniPk,0.9843305945,0.9417327046,,,,
wgEncodeAwgTfbsSydhMcf7Znf217UcdUniPk,0.7473127246,0.6815642715,,,,
wgEncodeAwgTfbsHaibH1hescSin3ak20Pcr1xUniPk,0.8378915787,0.7396373153,,,,
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk,0.9334532619,0.850985229,,,,
wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk,0.9029890895,0.8205369711,,,,
wgEncodeAwgTfbsSydhHelas3E2f1UniPk,0.8301433325,0.740309,,,,
wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk,0.8547741175,0.7577464581,,,,
wgEncodeAwgTfbsSydhK562CjunIfng30UniPk,0.8986060619,0.8052815795,,,,
wgEncodeAwgTfbsHaibA549Taf1V0422111Etoh02UniPk,0.9464648366,0.865157485,,,,
wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk,0.9100655913,0.8232902288,,,,
wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk,0.89798069,0.812522471,,,,
wgEncodeAwgTfbsSydhHelas3Prdm19115IggrabUniPk,0.9673138857,0.9119977355,,,,
wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk,0.8421679139,0.7608311176,,,,
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk,0.9653702974,0.9012926221,,,,
wgEncodeAwgTfbsHaibA549Creb1sc240V0416102Dex100nmUniPk,0.9023228288,0.8032151461,,,,
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk,0.9737710357,0.8997713327,,,,
wgEncodeAwgTfbsBroadK562Plu1UniPk,0.9815815091,0.9395316839,,,,
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk,0.8996635079,0.801353693,,,,
wgEncodeAwgTfbsHaibGm12878Irf4sc6059Pcr1xUniPk,0.9463158846,0.8734031916,,,,
wgEncodeAwgTfbsHaibH1hescNrsfV0416102UniPk,0.9352707863,0.8606803417,,,,
wgEncodeAwgTfbsSydhHepg2Tcf7l2UcdUniPk,0.9028043151,0.8178903461,,,,
wgEncodeAwgTfbsBroadH1hescEzh239875UniPk,0.9768493772,0.9176097512,,,,
wgEncodeAwgTfbsSydhHuvecMaxUniPk,0.9773817062,0.9248166084,,,,
wgEncodeAwgTfbsSydhGm12878CfosUniPk,0.9559746385,0.8843025565,,,,
wgEncodeAwgTfbsHaibHepg2Sin3ak20Pcr1xUniPk,0.8799805641,0.7869764566,,,,
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,0.9502460957,0.8793760538,,,,
wgEncodeAwgTfbsSydhGm18951NfkbTnfaIggrabUniPk,0.930038929,0.8523475528,,,,
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk,0.8970502019,0.8139175177,,,,
wgEncodeAwgTfbsSydhK562Pol2s2UniPk,0.8967211843,0.8033376336,,,,
wgEncodeAwgTfbsUtaK562CmycUniPk,0.9627008438,0.8988919854,,,,
wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk,0.8726644516,0.7859093547,,,,
wgEncodeAwgTfbsSydhHuvecPol2UniPk,0.9275634289,0.8467037082,,,,
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk,0.9453631043,0.873362422,,,,
wgEncodeAwgTfbsHaibA549GrPcr2xDex100nmUniPk,0.9447164536,0.8733392358,,,,
wgEncodeAwgTfbsHaibSknshNrsfV0416101UniPk,0.822832644,0.7549341917,,,,
wgEncodeAwgTfbsSydhGm19099NfkbTnfaIggrabUniPk,0.9119708538,0.8268740773,,,,
wgEncodeAwgTfbsHaibSknshNrsfPcr2xUniPk,0.9234676957,0.8445414901,,,,
wgEncodeAwgTfbsSydhGm12878TbpIggmusUniPk,0.9224985838,0.8292372227,,,,
wgEncodeAwgTfbsSydhGm12878Usf2IggmusUniPk,0.9595389962,0.8897470236,,,,
wgEncodeAwgTfbsSydhMcf7Gata3sc269UcdUniPk,0.9127275348,0.828430593,,,,
wgEncodeAwgTfbsSydhHelas3CmycUniPk,0.9445009232,0.8577741981,,,,
wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk,0.9492971301,0.8803443909,,,,
wgEncodeAwgTfbsSydhGm12878P300IggmusUniPk,0.9456614256,0.8696728349,,,,
wgEncodeAwgTfbsSydhHelas3Rpc155UniPk,0.9691711068,0.8905560374,,,,
wgEncodeAwgTfbsSydhHct116Pol2UcdUniPk,0.9548772573,0.8586083651,,,,
wgEncodeAwgTfbsSydhGm12878Nrf1IggmusUniPk,0.9200198054,0.8312289715,,,,
wgEncodeAwgTfbsHaibPfsk1Taf1V0416101UniPk,0.981141448,0.9298318028,,,,
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk,0.9840875268,0.9626736045,,,,
wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,0.9627486467,0.8938244581,,,,
wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,0.9356307387,0.8466846943,,,,
wgEncodeAwgTfbsSydhK562Pol2Ifng6hUniPk,0.9467317462,0.8778429627,,,,
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk,0.9084300995,0.8209219575,,,,
wgEncodeAwgTfbsHaibH1hescNanogsc33759V0416102UniPk,0.9671795964,0.9017280936,,,,
wgEncodeAwgTfbsSydhK562Pol2Ifna6hUniPk,0.9724553227,0.9078947306,,,,
wgEncodeAwgTfbsSydhK562Ubtfsab1404509IggmusUniPk,0.9097334743,0.8215216994,,,,
wgEncodeAwgTfbsHaibK562Pmlsc71910V0422111UniPk,0.9598355889,0.8949819207,,,,
wgEncodeAwgTfbsSydhU2osKap1UcdUniPk,0.9527471066,0.8838816881,,,,
wgEncodeAwgTfbsSydhK562Gtf2bUniPk,0.931073904,0.8494703174,,,,
wgEncodeAwgTfbsUwGm12801CtcfUniPk,0.9561755061,0.8769180775,,,,
wgEncodeAwgTfbsSydhHelas3E2f6UniPk,0.9023861289,0.81697613,,,,
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk,0.959444046,0.8919946551,,,,
wgEncodeAwgTfbsSydhHelas3Gtf2f1ab28179IggrabUniPk,0.8947441578,0.8038647175,,,,
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,0.9283434153,0.8361804485,,,,
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk,0.8557571173,0.7675575018,,,,
wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.8534182906,0.7472698689,,,,
wgEncodeAwgTfbsUtaMcf7Pol2UniPk,0.9458937645,0.870423913,,,,
wgEncodeAwgTfbsHaibHepg2Sp2V0422111UniPk,0.8293771744,0.7494908571,,,,
wgEncodeAwgTfbsSydhImr90Pol2IggrabUniPk,0.9651161432,0.8901623487,,,,
wgEncodeAwgTfbsHaibEcc1EraaV0416102Bpa1hUniPk,0.9183894992,0.8329316974,,,,
wgEncodeAwgTfbsSydhGm12878JundUniPk,0.9325734377,0.8500496745,,,,
wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk,0.9388046861,0.8670267463,,,,
wgEncodeAwgTfbsHaibHepg2Nficsc81335V0422111UniPk,0.9153592587,0.8328678608,,,,
wgEncodeAwgTfbsHaibK562Taf1V0416101UniPk,0.8330237269,0.7454906106,,,,
wgEncodeAwgTfbsUtaMcf7CmycEstroUniPk,0.9574572444,0.888235271,,,,
wgEncodeAwgTfbsSydhH1hescChd2IggrabUniPk,0.9575995803,0.8882699609,,,,
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk,0.9120265245,0.8323412538,,,,
wgEncodeAwgTfbsHaibHepg2Zbtb33Pcr1xUniPk,0.9193404913,0.8360495567,,,,
wgEncodeAwgTfbsSydhGm12878P300bUniPk,0.8916416764,0.8028261662,,,,
wgEncodeAwgTfbsHaibK562Taf7sc101167V0416101UniPk,0.9540379047,0.8696042895,,,,
wgEncodeAwgTfbsHaibH1hescSix5Pcr1xUniPk,0.9803529978,0.9317647219,,,,
wgEncodeAwgTfbsSydhGm18526NfkbTnfaIggrabUniPk,0.8994145393,0.8051047921,,,,
wgEncodeAwgTfbsSydhH1hescChd1a301218aIggrabUniPk,0.9194407463,0.8379530907,,,,
wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk,0.7947869301,0.7184054255,,,,
wgEncodeAwgTfbsSydhGm12878Chd1a301218aIggmusUniPk,0.9164404273,0.8323615193,,,,
wgEncodeAwgTfbsHaibSknshSin3ak20V0416101UniPk,0.9791759849,0.9378632307,,,,
wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.9087605476,0.8160356283,,,,
wgEncodeAwgTfbsSydhHepg2Hnf4aForsklnUniPk,0.9321113229,0.8559225798,,,,
wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk,0.9220187664,0.8415135741,,,,
wgEncodeAwgTfbsHaibGm12878Pmlsc71910V0422111UniPk,0.8681769371,0.7774210572,,,,
wgEncodeAwgTfbsSydhHepg2Rfx5200401194IggrabUniPk,0.9367567897,0.8588312268,,,,
wgEncodeAwgTfbsSydhK562Stat1Ifng6hUniPk,0.884906888,0.7965368032,,,,
wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,0.9391426444,0.8653155565,,,,
wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,0.8779752254,0.7903415561,,,,
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk,0.845497489,0.7623198032,,,,
wgEncodeAwgTfbsSydhGm12878NfybIggmusUniPk,0.8806453347,0.7941424847,,,,
wgEncodeAwgTfbsHaibA549GrPcr1xDex5nmUniPk,0.9564552903,0.8865480423,,,,
wgEncodeAwgTfbsBroadNhekEzh239875UniPk,0.925553143,0.839594543,,,,
wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk,0.9537433386,0.882085681,,,,
wgEncodeAwgTfbsHaibGm12878Bclaf101388V0416101UniPk,0.9008544087,0.8131707311,,,,
wgEncodeAwgTfbsHaibPfsk1Foxp2Pcr2xUniPk,0.9198890924,0.8426408172,,,,
wgEncodeAwgTfbsSydhK562NfyaUniPk,0.8631637692,0.7748815417,,,,
wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk,0.9649789333,0.8973013759,,,,
wgEncodeAwgTfbsBroadNhaEzh239875UniPk,0.9171180725,0.8380162716,,,,
wgEncodeAwgTfbsSydhK562Pol2Ifng30UniPk,0.954518497,0.888410151,,,,
wgEncodeAwgTfbsSydhK562Ubfsc13125IggmusUniPk,0.8912722468,0.809243679,,,,
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk,0.9211907387,0.8363672495,,,,
wgEncodeAwgTfbsHaibGm12878SrfPcr2xUniPk,0.9410335422,0.864589572,,,,
wgEncodeAwgTfbsHaibHepg2Elf1sc631V0416101UniPk,0.9436730146,0.8722230792,,,,
wgEncodeAwgTfbsSydhHelas3Znf143IggrabUniPk,0.9154118896,0.8209021688,,,,
wgEncodeAwgTfbsSydhK562Sirt6UniPk,0.9897604585,0.9681159258,,,,
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk,0.9403383732,0.8642383814,,,,
wgEncodeAwgTfbsSydhK562Yy1UcdUniPk,0.9602954984,0.8929539323,,,,
wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk,0.9415768981,0.8660007119,,,,
wgEncodeAwgTfbsSydhHepg2Corestsc30189IggrabUniPk,0.9342586398,0.8504807949,,,,
wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk,0.9041978121,0.8199492693,,,,
wgEncodeAwgTfbsHaibHepg2Taf1Pcr2xUniPk,0.9161824584,0.8378708363,,,,
wgEncodeAwgTfbsBroadNhlfEzh239875UniPk,0.9672819972,0.9084132314,,,,
wgEncodeAwgTfbsSydhK562TbpIggmusUniPk,0.9336723089,0.8538982272,,,,
wgEncodeAwgTfbsUwHl60CtcfUniPk,0.9221637249,0.8433294296,,,,
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.9234839082,0.8435863853,,,,
wgEncodeAwgTfbsHaibGm12878Nfatc1sc17834V0422111UniPk,0.912897408,0.8384793401,,,,
