Name,Train Size,Loss,Accuracy,Precision,Recall,PR AUC,ROC AUC,F1 Score
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01cUniPk,64189,0.2034013420343399,0.9214714765548706,0.920558512210846,0.9224167466163635,0.9748228788375854,0.9753202795982361,0.9208186268806458
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk,27943,0.30661702156066895,0.8739808201789856,0.8831816911697388,0.8633790612220764,0.9489885568618774,0.9477300643920898,0.8721309900283813
wgEncodeAwgTfbsUtaFibroblCtcfUniPk,70817,0.14128953218460083,0.9509061574935913,0.9505624771118164,0.9504197239875793,0.9857921004295349,0.9865111708641052,0.950149655342102
wgEncodeAwgTfbsHaibK562Taf1V0416101UniPk,23374,0.3123776614665985,0.8706042766571045,0.8720896244049072,0.8691702485084534,0.9415711164474487,0.9413416385650635,0.8695252537727356
wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk,44681,0.20667307078838348,0.9209867715835571,0.9292333722114563,0.9117299914360046,0.9742388129234314,0.9741343259811401,0.9198859930038452
wgEncodeAwgTfbsSydhHuvecCjunUniPk,46081,0.17796818912029266,0.9313215613365173,0.934998631477356,0.9283602237701416,0.9803853631019592,0.9808918833732605,0.9311352372169495
wgEncodeAwgTfbsSydhK562Sirt6UniPk,3613,0.3155098855495453,0.8741722106933594,0.8893030285835266,0.8583459854125977,0.9419327974319458,0.9435935616493225,0.870948314666748
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk,28362,0.24191607534885406,0.9009486436843872,0.9111470580101013,0.8872622847557068,0.9654496908187866,0.9651857018470764,0.8983454704284668
wgEncodeAwgTfbsSydhGm12878Pol2UniPk,17305,0.37446966767311096,0.8308687806129456,0.8304510712623596,0.8250555992126465,0.9141128063201904,0.9126830697059631,0.8268824815750122
wgEncodeAwgTfbsUwHcfaaCtcfUniPk,64269,0.078780397772789,0.9732375144958496,0.9740569591522217,0.9719101786613464,0.99500572681427,0.995307445526123,0.9727914929389954
wgEncodeAwgTfbsHaibHepg2NrsfV0416101UniPk,19962,0.29845064878463745,0.8753252029418945,0.8870096206665039,0.8628231287002563,0.949280858039856,0.9487002491950989,0.8743400573730469
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk,18670,0.17209002375602722,0.9313368797302246,0.937654972076416,0.9274026155471802,0.9829373359680176,0.9826793670654297,0.9319579601287842
wgEncodeAwgTfbsUwGm12865CtcfUniPk,68032,0.09399104118347168,0.967917263507843,0.9682058095932007,0.9676173329353333,0.9932172298431396,0.9935809373855591,0.9676730036735535
wgEncodeAwgTfbsHaibGm12878Zbtb33Pcr1xUniPk,3283,0.28155943751335144,0.8912783861160278,0.9046381711959839,0.8794617652893066,0.954667329788208,0.9538582563400269,0.8916147947311401
wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk,8391,0.4684191942214966,0.7832699418067932,0.787253737449646,0.7975786328315735,0.8667047023773193,0.8665384650230408,0.7909625172615051
wgEncodeAwgTfbsBroadNhekEzh239875UniPk,11918,0.48760971426963806,0.7703654170036316,0.7788290977478027,0.7516499161720276,0.8494695425033569,0.8497451543807983,0.763871431350708
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk,30115,0.2703395485877991,0.8863817453384399,0.8781526684761047,0.8929582238197327,0.9565709829330444,0.9556639194488525,0.8818261027336121
wgEncodeAwgTfbsHaibSknshTaf1V0416101UniPk,21897,0.30992528796195984,0.8650967478752136,0.8714912533760071,0.851449191570282,0.943115234375,0.9425569772720337,0.8605108261108398
wgEncodeAwgTfbsSydhHepg2Usf2IggrabUniPk,9886,0.12375270575284958,0.9564340710639954,0.9636608362197876,0.9553508758544922,0.9894564747810364,0.99007648229599,0.9591686129570007
wgEncodeAwgTfbsHaibA549GrPcr1xDex50nmUniPk,36344,0.3124907910823822,0.8702197670936584,0.877813458442688,0.8666300177574158,0.9459547996520996,0.9455390572547913,0.8713645339012146
wgEncodeAwgTfbsHaibSknshraP300V0416102UniPk,73035,0.3745228946208954,0.8382771611213684,0.8484094738960266,0.8259432315826416,0.9174426794052124,0.9178687930107117,0.8358060717582703
wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk,13317,0.3021789491176605,0.8661866188049316,0.8805016279220581,0.8594333529472351,0.9471919536590576,0.9460605978965759,0.86875981092453
wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk,2696,0.2993309497833252,0.8577777743339539,0.8624069094657898,0.840456485748291,0.9470119476318359,0.9463132619857788,0.8486364483833313
